ID,Symbol,CreateTime,Body,Sentiment
257385003,AAPL,2020-11-17T21:48:33Z,b'$AAPL I predict $112 this week',Bearish
257384365,AAPL,2020-11-17T21:46:34Z,b'$GME if you&#39;ve read up on Ryan Cohen you&#39;ll have concluded that he&#39;s not swinging at every pitch (investment opportunity). He lets hundreds of pitches go past him. He waits until the perfect opportunities# buying businesses that have massive# growing blue oceans ahead of them ($AAPL)... \n\nClearly he concluded similarly about gaming. He has specifically noted the size and growth rates of the industry in his letter# and honed in on the size of GameStop&#39;s installed user base (~55M PUR members) as a key reason to choose them as the way to play in this space.\n\nSure# it&#39;s not 100% that he remains invested / issues a takeover offer / prepares a majority slate to take over the BOD &amp; thus CEO-ship... but objectively the odds of him walking after all of his actions and knowing his background have to be pinned in the single digits.\n\nLook# he initially bought in April 2019. He very rapidly more than doubled down from August 2020- ... he&#39;s playing chess and knows he&#39;s already mated the shorts. GG',Bullish
257384019,AAPL,2020-11-17T21:45:39Z,b'$AAPL still holding my (5) options for December. Lookin for that move to 130',None
257383856,AAPL,2020-11-17T21:45:12Z,b'$AMZN $TSLA $AAPL $BABA $NIO This is why you buy this# bulls watch this  https://youtu.be/AOS1i_iV_wM',Bullish
257383543,AAPL,2020-11-17T21:44:14Z,b'$AAPL 120 is the max for this year.',Bearish
257383324,AAPL,2020-11-17T21:43:31Z,b'SmartOptions\xc2\xae Unusual Activity Alert\n(Delayed)\n\n$AAPL $110 Calls\nJan 15 2021 Exp \n\nTrade Volume: 909 Contracts\n\n$1#085#346 was traded just now.  \n\nCurrent Stock Price: $119.34\n\nFollow the Money &amp; Trade Options with Our SmartOptions\xc2\xae Artificial Intelligence.  \nSmartOptions.ai',Bullish
257382822,AAPL,2020-11-17T21:41:59Z,b'$AAPL what I\xe2\x80\x99m about to say is false and misleading# but head and shoulder inbound. Goal is 138. I\xe2\x80\x99m actually a bear with a put for 118 lol',Bullish
257382534,AAPL,2020-11-17T21:41:00Z,b'$AAPL 117.31 4 times since 10/20/20.\nLooking good for tomorrow',Bearish
257381601,AAPL,2020-11-17T21:38:02Z,b'$AAPL The MM\xe2\x80\x99s manipulation is disgusting# they try to burn out 120 calls every week',None
257380874,AAPL,2020-11-17T21:35:45Z,b'$AAPL Time for a 50 day sma test before moving back up',None
257380486,AAPL,2020-11-17T21:34:35Z,b'$AAPL $AAPL - Double Top Target $117.3 - $116. Double Top Target $117.3 - $116',Bearish
257380286,AAPL,2020-11-17T21:34:04Z,b'$AAPL if you look at the wave and pattern on the 3M# sp is coming back down. Likely to 111. Hopefully by Friday.\nAround Election Day# I did not like this week or two# and I can\xe2\x80\x99t believe it held up until now',Bearish
257379165,AAPL,2020-11-17T21:30:58Z,b'$AAPL still looks good over 120 tomorrow',Bullish
257377921,AAPL,2020-11-17T21:27:21Z,b'$AAPL Apple is the best stock# the greatest# the strongest force....God\xe2\x80\x99s Last Gift??\n\nTruth be told# I wouldn\xe2\x80\x99t have minded being in Farfetch for the last year.\n\nThey\xe2\x80\x99ve had more than just 4 good months this year......',Bearish
257377808,AAPL,2020-11-17T21:27:05Z,b'$AAPL  EOY prediction?',Bullish
257376100,AAPL,2020-11-17T21:22:53Z,b'&quot;Must Have&quot; US streaming services - Oct 2020\n\n$NFLX $GOOG $DIS $AMZN $AAPL',None
257376051,AAPL,2020-11-17T21:22:45Z,b'$AAPL in at 19.47 will sell at 20.47. Looking to scrap lol',Bullish
257375784,AAPL,2020-11-17T21:22:06Z,b'$AAPL \nOne of the dud stock...\nShort at will and make money...',Bearish
257375768,AAPL,2020-11-17T21:22:04Z,b'$AAPL *yawn* wake me up at ath',Bullish
257375737,AAPL,2020-11-17T21:22:00Z,b'$AAPL 119.50+',Bearish
257374923,AAPL,2020-11-17T21:20:04Z,b'$AAPL Down $5? Who sold 1/3rd?',Bearish
257374876,AAPL,2020-11-17T21:19:57Z,b'5 Bad Habits of An Options Trader (and the Solutions)\n\nwww.smartoptions.ai/post/badhabits\n\n$spy $aapl $tsla',None
257374295,AAPL,2020-11-17T21:18:38Z,b'$AAPL apple could announce iCar tomorrow and it would still sell off',None
